"","STATE","YEAR","MONTH","WEEK","week_TEMP","week_MAX","week_MIN","week_PRCP","week_STP","mavg_4weeks_TEMP","mavg_4weeks_MAX","mavg_4weeks_MIN","mavg_4weeks_PRCP","diff_week_TEMP","percent_diff","statename","ili_activity_label","ili_activity_group","weekend","Latitude","Longitude","total_specimens","percent_positive","a_2009_h1n1","a_h1","a_h3","a_subtyping_not_performed","a_unable_to_subtype","b","h3n2v"
"9284","SD",2012,"04",14,11.8790419161677,20.8538922155689,4.45149700598802,0.228048780487805,934.473484848485,9.64895583188185,18.1372252053552,2.84451868637939,1.96450629782563,0.53380382092957,4.70509139119453,"South Dakota","Level 1","Minimal",2012-04-07,44.299782,-99.438828,"90","15.56","1","0","11","1","0","1","0"
"9285","SD",2012,"04",15,7.20963855421687,15.5518072289157,0.0325301204819277,1.5430303030303,939.874045801527,10.1037177366438,18.4817820039783,3.36252463876035,2.5285273466371,-4.6694033619508,-39.3079121607916,"South Dakota","Level 1","Minimal",2012-04-14,44.299782,-99.438828,"47","21.28","1","0","6","1","0","2","0"
"9286","SD",2012,"04",16,8.16190476190476,15.4142857142857,2.95595238095238,5.56,936.076691729323,9.59489475760184,17.7646631167527,3.21527538726334,2.89279174725983,0.952266207687894,13.2082378405908,"South Dakota","Level 1","Minimal",2012-04-21,44.299782,-99.438828,"61","18.03","0","0","9","1","0","1","0"
"9287","SD",2012,"04",17,13.1642857142857,22.1071428571429,6.01011904761905,2.7830303030303,935.640601503759,11.7307204131653,19.6830138305322,5.50819327731092,3.31181678019791,5.00238095238095,61.2893815635939,"South Dakota","Level 1","Minimal",2012-04-28,44.299782,-99.438828,"57","26.32","2","0","13","0","0","0","0"
"9288","SD",2012,"04",18,9.84375,17.9854166666667,3.8625,1.68510638297872,937.305263157895,12.7537984395565,21.0187496308764,6.03893409773548,2.46257435595548,-3.32053571428571,-25.2238198589257,"South Dakota","Level 1","Minimal",2012-05-05,44.299782,-99.438828,"41","21.95","1","0","6","2","0","0","0"
"9289","SD",2012,"05",18,15.7529411764706,23.2252100840336,9.20420168067227,3.21913043478261,931.334042553191,14.0796912966994,22.5282734404003,6.98848766916405,1.97946738260755,5.90919117647059,60.0298786181139,"South Dakota","Level 1","Minimal",2012-05-05,44.299782,-99.438828,"41","21.95","1","0","6","2","0","0","0"
"9290","SD",2012,"05",19,12.2542168674699,20.7572289156627,5.0789156626506,2.1630303030303,940.348854961832,15.381551415747,23.6841514165907,8.22851743106881,2.28104354759906,-3.49872430900071,-22.2099750758073,"South Dakota","Level 1","Minimal",2012-05-12,44.299782,-99.438828,"37","10.81","0","0","3","0","0","1","0"
"9291","SD",2012,"05",20,18.4678571428571,28.1452380952381,9.80833333333333,0.850602409638554,936.732330827068,14.604982788296,22.9228488955823,7.70830034423408,2.23020830732446,6.21364027538726,50.7061393036223,"South Dakota","Level 1","Minimal",2012-05-19,44.299782,-99.438828,"27","7.41","0","0","2","0","0","0","0"
"9292","SD",2012,"05",21,15.0511904761905,22.6089285714286,8.82261904761905,2.89141104294479,934.087969924812,15.4815327380952,23.8653125,8.39430059523809,1.98306775284348,-3.41666666666667,-18.5006123896087,"South Dakota","Level 1","Minimal",2012-05-26,44.299782,-99.438828,"25","0","0","0","0","0","0","0","0"
"9293","SD",2012,"05",22,12.6466666666667,20.18,7.12333333333333,3.01578947368421,935.423157894737,16.5373229433989,24.4906796228971,9.63428313016824,2.03642324799482,-2.40452380952381,-15.9756386933481,"South Dakota","Level 1","Minimal",2012-06-02,44.299782,-99.438828,"21","0","0","0","0","0","0","0","0"
"9294","SD",2012,"06",22,15.7604166666667,24.5270833333333,7.82291666666667,1.17446808510638,935.352631578947,17.5964003243513,25.7921677181352,10.3871105111206,1.75666864676783,3.11375,24.6211122825514,"South Dakota","Level 1","Minimal",2012-06-02,44.299782,-99.438828,"21","0","0","0","0","0","0","0","0"
"9295","SD",2012,"06",23,22.6910179640719,30.6467065868263,14.7682634730539,1.0640243902439,934.125757575758,19.8562905439122,28.3104910714286,12.0859178963502,1.69635481871944,6.93060129740519,43.9747339425577,"South Dakota","Level 1","Minimal",2012-06-09,44.299782,-99.438828,"21","9.52","0","0","0","0","0","2","0"
"9296","SD",2012,"06",24,19.2875,27.814880952381,11.8339285714286,1.77239263803681,935.454887218045,22.1269006629598,30.4101573638437,14.5403077773025,1.48305029744285,-3.40351796407186,-14.9994062384546,"South Dakota","Level 1","Minimal",2012-06-16,44.299782,-99.438828,"20","10","0","0","2","0","0","0","0"
"9297","SD",2012,"06",25,21.6862275449102,30.2532934131737,13.9185628742515,2.77453416149068,932.090151515152,22.9020628386085,31.2322604790419,15.6288966709438,1.65253802704237,2.39872754491018,12.4366949833321,"South Dakota","Level 1","Minimal",2012-06-23,44.299782,-99.438828,"23","0","0","0","0","0","0","0","0"
"9298","SD",2012,"06",26,24.8428571428571,32.925748502994,17.6404761904762,0.32125,934.998496240602,24.3550390290847,32.598629526661,16.8309800042772,1.27788498948438,3.15662959794696,14.5559184575089,"South Dakota","Level 1","Minimal",2012-06-30,44.299782,-99.438828,"11","0","0","0","0","0","0","0","0"
"9299","SD",2012,"07",27,25.7916666666667,33.935119047619,19.122619047619,1.74197530864198,935.555639097744,25.9697916666667,34.2891752209866,18.4808035714286,1.06654958575768,0.948809523809526,3.8192447766916,"South Dakota","Level 1","Minimal",2012-07-07,44.299782,-99.438828,"14","0","0","0","0","0","0","0","0"
"9300","SD",2012,"07",28,25.0994047619048,33.2803571428571,16.6422619047619,0.273780487804878,941.859398496241,26.0809523809524,34.5581845238095,18.6107142857143,1.31278029563422,-0.692261904761907,-2.68405261943227,"South Dakota","Level 1","Minimal",2012-07-14,44.299782,-99.438828,"24","0","0","0","0","0","0","0","0"
"9301","SD",2012,"07",29,28.1452380952381,37.0154761904762,20.5178571428571,1.92919254658385,936.394736842105,26.0410218253968,34.6994047619048,18.0751984126984,0.995857897045154,3.04583333333333,12.1350819361112,"South Dakota","Level 1","Minimal",2012-07-21,44.299782,-99.438828,"41","0","0","0","0","0","0","0","0"
"9302","SD",2012,"07",30,25.2875,34.0017857142857,18.160119047619,1.30617283950617,936.796240601504,25.5685143849206,34.4777529761905,17.7687996031746,1.44730524821221,-2.85773809523809,-10.1535403096185,"South Dakota","Level 1","Minimal",2012-07-28,44.299782,-99.438828,"11","0","0","0","0","0","0","0","0"
"9303","SD",2012,"07",31,25.6319444444444,34.5,16.9805555555556,0.474285714285714,938.775438596491,24.0332527653027,33.0099617728828,16.0670299282388,1.07572139728054,0.344444444444445,1.36211347284012,"South Dakota","Level 1","Minimal",2012-08-04,44.299782,-99.438828,"29","0","0","0","0","0","0","0","0"
"9304","SD",2012,"08",31,23.209375,32.39375,15.4166666666667,2.07956989247312,935.960526315789,22.3488777653027,31.2516284395495,14.2732799282388,1.12163327722435,-2.42256944444444,-9.45136819290165,"South Dakota","Level 1","Minimal",2012-08-04,44.299782,-99.438828,"29","0","0","0","0","0","0","0","0"
"9305","SD",2012,"08",32,22.0041916167665,31.1443113772455,13.7107784431138,0.442857142857143,941.110606060606,21.4184214160964,30.457432010978,13.2641529441118,1.06443909416191,-1.20518338323354,-5.19265763612133,"South Dakota","Level 1","Minimal",2012-08-11,44.299782,-99.438828,"19","0","0","0","0","0","0","0","0"
"9306","SD",2012,"08",33,18.55,26.9684523809524,10.985119047619,1.48982035928144,939.333082706767,21.7251054438742,31.1235778443114,13.2761321107784,0.593497669994676,-3.45419161676647,-15.6978800990557,"South Dakota","Level 1","Minimal",2012-08-18,44.299782,-99.438828,"23","0","0","0","0","0","0","0","0"
"9307","SD",2012,"08",34,21.910119047619,31.3232142857143,12.9440476190476,0.245508982035928,936.556390977444,22.6844742063492,32.3635416666667,14.0973958333333,0.48278338428039,3.36011904761905,18.1138493133102,"South Dakota","Level 1","Minimal",2012-08-25,44.299782,-99.438828,"23","0","0","0","0","0","0","0","0"
"9308","SD",2012,"08",35,24.4361111111111,35.0583333333333,15.4645833333333,0.195804195804196,937.794736842105,23.1489087301587,33.2193452380952,14.2368303571429,0.300298354340271,2.52599206349206,11.5288833346917,"South Dakota","Level 0","Insufficient Data",2012-09-01,44.299782,-99.438828,"27","3.7","0","0","1","0","0","0","0"
"9309","SD",2012,"09",35,25.8416666666667,36.1041666666667,16.9958333333333,0,937.994736842105,22.2825396825397,32.7027632235529,13.250818452381,0.308232486076797,1.40555555555556,5.75196089575993,"South Dakota","Level 0","Insufficient Data",2012-09-01,44.299782,-99.438828,"27","3.7","0","0","1","0","0","0","0"
"9310","SD",2012,"09",36,20.4077380952381,30.3916666666667,11.5428571428571,0.759880239520958,937.988721804511,19.6839285714286,29.8320786997434,10.8622023809524,0.282942151411463,-5.43392857142857,-21.0277790574469,"South Dakota","Level 1","Minimal",2012-09-08,44.299782,-99.438828,"29","0","0","0","0","0","0","0","0"
"9311","SD",2012,"09",37,18.4446428571429,29.2568862275449,9,0.277245508982036,941.532330827068,16.853002922726,27.1566394427153,7.70201650270887,0.284588857998289,-1.96309523809524,-9.6193670701473,"South Dakota","Level 1","Minimal",2012-09-15,44.299782,-99.438828,"41","4.88","0","0","0","0","0","2","0"
"9312","SD",2012,"09",38,14.0416666666667,23.5755952380952,5.91011904761905,0.0946428571428571,939.661654135338,16.2532423119599,26.5022010369182,6.99238917351632,0.0946187981180496,-4.40297619047619,-23.871300868106,"South Dakota","Level 1","Minimal",2012-09-22,44.299782,-99.438828,"37","2.7","0","0","1","0","0","0","0"
"9313","SD",2012,"09",39,14.5179640718563,25.4024096385542,4.35508982035928,0.00658682634730539,941.269696969697,13.8054496532298,23.5173197578097,5.17902111796077,0.10580387477325,0.476297405189621,3.39202899838306,"South Dakota","Level 1","Minimal",2012-09-29,44.299782,-99.438828,"51","7.84","0","0","2","1","0","1","0"
"9314","SD",2012,"09",40,18.0086956521739,27.7739130434783,8.70434782608696,0,936.883333333333,12.1072353675155,21.9186305291242,3.77857468938934,0.100968461692355,3.49073158031763,24.044222475275,"South Dakota","Level 1","Minimal",2012-10-06,44.299782,-99.438828,"37","2.7","0","0","0","0","0","1","0"
"9315","SD",2012,"10",40,8.65347222222222,17.3173611111111,1.74652777777778,0.321985815602837,942.305263157895,11.0540836352657,20.2132662147238,3.65914747239476,0.475998584373821,-9.35522342995169,-51.9483676699394,"South Dakota","Level 1","Minimal",2012-10-06,44.299782,-99.438828,"37","2.7","0","0","0","0","0","1","0"
"9316","SD",2012,"10",41,7.24880952380952,17.1808383233533,0.308333333333333,0.0753012048192771,938.348872180451,7.75714924318031,15.8271232831955,1.71883895898679,0.664955639588545,-1.4046626984127,-16.2323592465636,"South Dakota","Level 1","Minimal",2012-10-13,44.299782,-99.438828,"65","6.15","0","0","1","0","0","3","0"
"9317","SD",2012,"10",42,10.3053571428571,18.5809523809524,3.87738095238095,1.50670731707317,929.353383458647,7.15523952095808,15.1514288387511,1.20850909787568,0.607115435687836,3.05654761904762,42.1662013466907,"South Dakota","Level 2","Minimal",2012-10-20,44.299782,-99.438828,"80","16.25","0","0","2","1","0","10","0"
"9318","SD",2012,"10",43,4.82095808383233,10.2293413173653,0.94311377245509,0.755828220858896,938.351515151515,6.25414825111681,13.459691480135,0.924828542320122,0.59850140208865,-5.48439905902481,-53.2189130662605,"South Dakota","Level 1","Minimal",2012-10-27,44.299782,-99.438828,"84","13.1","0","0","3","0","0","8","0"
"9319","SD",2012,"10",44,6.24583333333333,14.6145833333333,-0.294791666666667,0.090625,940.581578947368,4.73227325111681,11.3538246423819,-0.257314314822735,0.320006391002176,1.424875249501,29.5558522750797,"South Dakota","Level 1","Minimal",2012-11-03,44.299782,-99.438828,"90","23.33","0","0","9","0","0","12","0"
"9320","SD",2012,"11",44,3.64444444444444,10.4138888888889,-0.826388888888889,0.0408450704225352,940.428070175439,3.36572420634921,10.6394952654215,-2.13996775793651,0.213833766925177,-2.60138888888889,-41.6499888814765,"South Dakota","Level 1","Minimal",2012-11-03,44.299782,-99.438828,"90","23.33","0","0","9","0","0","12","0"
"9321","SD",2012,"11",45,4.21785714285714,10.1574850299401,-0.851190476190476,0.392727272727273,937.590977443609,2.77152777777778,10.3002206895732,-2.92118055555556,0.205997876206614,0.573412698412698,15.7338850174216,"South Dakota","Level 1","Minimal",2012-11-10,44.299782,-99.438828,"90","13.33","0","0","4","0","0","8","0"
"9322","SD",2012,"11",46,-0.645238095238095,7.37202380952381,-6.5875,0.331137724550898,942.577443609023,1.21684027777778,8.97786734846989,-4.81649305555556,0.262688017051684,-4.86309523809524,-115.2977702512,"South Dakota","Level 1","Minimal",2012-11-17,44.299782,-99.438828,"89","21.35","0","0","11","2","0","6","0"
"9323","SD",2012,"11",47,3.86904761904762,13.2574850299401,-3.41964285714286,0.0592814371257485,939.545112781955,1.62800099206349,9.8405794243182,-4.64640376984127,0.164506198869866,4.51428571428571,-699.630996309963,"South Dakota","Level 1","Minimal",2012-11-24,44.299782,-99.438828,"77","9.09","0","0","4","0","0","3","0"
"9324","SD",2012,"11",48,-2.57430555555556,5.12447552447552,-8.40763888888889,0.267605633802817,941.478947368421,2.48469742063492,10.3999544243182,-3.62616567460317,0.185532743341897,-6.44335317460317,-166.535897435897,"South Dakota","Level 2","Minimal",2012-12-01,44.299782,-99.438828,"138","23.91","0","0","18","4","0","11","0"
"9325","SD",2012,"12",48,5.8625,13.6083333333333,-0.170833333333333,0,931.015789473684,0.154042658730159,7.35418435730936,-5.50949900793651,0.373894202242278,8.43680555555556,-327.731319125978,"South Dakota","Level 2","Minimal",2012-12-01,44.299782,-99.438828,"138","23.91","0","0","18","4","0","11","0"
