	statename	activity_level	activity_level_label	Latitude	Longitude	year	month	day	mean_prcp	mean_tmax	mean_tmin
0	Alabama	1	Minimal	32.806671	-86.79113000000001	2010	10	30	3.7419354838709675	26.870967741935484	9.17741935483871
1	Alabama	1	Minimal	32.806671	-86.79113000000001	2010	10	23	3.7419354838709675	26.870967741935484	9.17741935483871
2	Alabama	1	Minimal	32.806671	-86.79113000000001	2010	10	16	3.7419354838709675	26.870967741935484	9.17741935483871
3	Alabama	1	Minimal	32.806671	-86.79113000000001	2010	10	9	3.7419354838709675	26.870967741935484	9.17741935483871
4	Alabama	1	Minimal	32.806671	-86.79113000000001	2010	11	20	4.8	19.933333333333334	5.716666666666667
5	Alabama	1	Minimal	32.806671	-86.79113000000001	2010	11	13	4.8	19.933333333333334	5.716666666666667
6	Alabama	1	Minimal	32.806671	-86.79113000000001	2010	11	6	4.8	19.933333333333334	5.716666666666667
7	Alabama	4	Low	32.806671	-86.79113000000001	2010	11	27	4.8	19.933333333333334	5.716666666666667
8	Alabama	4	Low	32.806671	-86.79113000000001	2010	12	4	2.4838709677419355	11.048387096774194	-1.5806451612903225
9	Alabama	8	High	32.806671	-86.79113000000001	2010	12	11	2.4838709677419355	11.048387096774194	-1.5806451612903225
10	Alabama	10	High	32.806671	-86.79113000000001	2010	12	25	2.4838709677419355	11.048387096774194	-1.5806451612903225
11	Alabama	10	High	32.806671	-86.79113000000001	2010	12	18	2.4838709677419355	11.048387096774194	-1.5806451612903225
12	Alabama	9	High	32.806671	-86.79113000000001	2015	1	10	4.258064516129032	13.14516129032258	0.4032258064516129
13	Alabama	10	High	32.806671	-86.79113000000001	2015	1	3	4.258064516129032	13.14516129032258	0.4032258064516129
14	Alabama	10	High	32.806671	-86.79113000000001	2015	1	17	4.258064516129032	13.14516129032258	0.4032258064516129
15	Alabama	10	High	32.806671	-86.79113000000001	2015	1	24	4.258064516129032	13.14516129032258	0.4032258064516129
16	Alabama	10	High	32.806671	-86.79113000000001	2015	1	31	4.258064516129032	13.14516129032258	0.4032258064516129
17	Alabama	6	Moderate	32.806671	-86.79113000000001	2015	2	7	4.642857142857143	12.017857142857142	-0.7857142857142857
18	Alabama	8	High	32.806671	-86.79113000000001	2015	2	28	4.642857142857143	12.017857142857142	-0.7857142857142857
19	Alabama	9	High	32.806671	-86.79113000000001	2015	2	14	4.642857142857143	12.017857142857142	-0.7857142857142857
20	Alabama	10	High	32.806671	-86.79113000000001	2015	2	21	4.642857142857143	12.017857142857142	-0.7857142857142857
21	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	3	28	3.774193548387097	20.548387096774192	8.725806451612904
22	Alabama	4	Low	32.806671	-86.79113000000001	2015	3	21	3.774193548387097	20.548387096774192	8.725806451612904
23	Alabama	6	Moderate	32.806671	-86.79113000000001	2015	3	14	3.774193548387097	20.548387096774192	8.725806451612904
24	Alabama	9	High	32.806671	-86.79113000000001	2015	3	7	3.774193548387097	20.548387096774192	8.725806451612904
25	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	4	25	5.366666666666666	24.9	13.283333333333333
26	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	4	18	5.366666666666666	24.9	13.283333333333333
27	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	4	11	5.366666666666666	24.9	13.283333333333333
28	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	4	4	5.366666666666666	24.9	13.283333333333333
29	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	5	30	3.129032258064516	29.129032258064516	15.887096774193548
30	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	5	23	3.129032258064516	29.129032258064516	15.887096774193548
31	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	5	16	3.129032258064516	29.129032258064516	15.887096774193548
32	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	5	9	3.129032258064516	29.129032258064516	15.887096774193548
33	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	5	2	3.129032258064516	29.129032258064516	15.887096774193548
34	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	6	27	2.933333333333333	32.06666666666667	20.533333333333335
35	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	6	20	2.933333333333333	32.06666666666667	20.533333333333335
36	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	6	13	2.933333333333333	32.06666666666667	20.533333333333335
37	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	6	6	2.933333333333333	32.06666666666667	20.533333333333335
38	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	7	25	3.0	33.596774193548384	22.112903225806452
39	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	7	18	3.0	33.596774193548384	22.112903225806452
40	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	7	11	3.0	33.596774193548384	22.112903225806452
41	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	7	4	3.0	33.596774193548384	22.112903225806452
42	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	8	29	4.129032258064516	32.70967741935484	20.64516129032258
43	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	8	22	4.129032258064516	32.70967741935484	20.64516129032258
44	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	8	15	4.129032258064516	32.70967741935484	20.64516129032258
45	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	8	8	4.129032258064516	32.70967741935484	20.64516129032258
46	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	8	1	4.129032258064516	32.70967741935484	20.64516129032258
47	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	9	26	1.6333333333333333	29.9	18.333333333333332
48	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	9	19	1.6333333333333333	29.9	18.333333333333332
49	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	9	12	1.6333333333333333	29.9	18.333333333333332
50	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	9	5	1.6333333333333333	29.9	18.333333333333332
51	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	10	31	1.7096774193548387	25.258064516129032	12.193548387096774
52	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	10	24	1.7096774193548387	25.258064516129032	12.193548387096774
53	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	10	17	1.7096774193548387	25.258064516129032	12.193548387096774
54	Alabama	1	Minimal	32.806671	-86.79113000000001	2015	10	10	1.7096774193548387	25.258064516129032	12.193548387096774
