date	Latitude	Longitude	activity_level
2016-10-01	0.29079941557832456	0.8024295020643715	0.1
2016-09-24	0.29079941557832456	0.8024295020643715	0.1
2016-09-17	0.29079941557832456	0.8024295020643715	0.1
2016-09-10	0.29079941557832456	0.8024295020643715	0.1
2016-09-03	0.29079941557832456	0.8024295020643715	0.1
2016-08-27	0.29079941557832456	0.8024295020643715	0.1
2016-08-20	0.29079941557832456	0.8024295020643715	0.1
2016-08-13	0.29079941557832456	0.8024295020643715	0.1
2016-08-06	0.29079941557832456	0.8024295020643715	0.1
2016-07-30	0.29079941557832456	0.8024295020643715	0.1
2016-07-23	0.29079941557832456	0.8024295020643715	0.1
2016-07-16	0.29079941557832456	0.8024295020643715	0.1
2016-07-09	0.29079941557832456	0.8024295020643715	0.1
2016-07-02	0.29079941557832456	0.8024295020643715	0.1
2016-06-25	0.29079941557832456	0.8024295020643715	0.1
2016-06-18	0.29079941557832456	0.8024295020643715	0.1
2016-06-11	0.29079941557832456	0.8024295020643715	0.1
2016-06-04	0.29079941557832456	0.8024295020643715	0.1
2016-05-28	0.29079941557832456	0.8024295020643715	0.1
2016-05-21	0.29079941557832456	0.8024295020643715	0.1
2016-05-14	0.29079941557832456	0.8024295020643715	0.1
2016-05-07	0.29079941557832456	0.8024295020643715	0.1
2016-02-13	0.29079941557832456	0.8024295020643715	0.1
2016-01-30	0.29079941557832456	0.8024295020643715	0.1
2016-01-16	0.29079941557832456	0.8024295020643715	0.1
2016-01-09	0.29079941557832456	0.8024295020643715	0.1
2016-01-02	0.29079941557832456	0.8024295020643715	0.1
2015-12-12	0.29079941557832456	0.8024295020643715	0.1
2015-12-05	0.29079941557832456	0.8024295020643715	0.1
2015-11-21	0.29079941557832456	0.8024295020643715	0.1
2015-11-14	0.29079941557832456	0.8024295020643715	0.1
2015-11-07	0.29079941557832456	0.8024295020643715	0.1
2015-10-31	0.29079941557832456	0.8024295020643715	0.1
2015-10-24	0.29079941557832456	0.8024295020643715	0.1
2015-10-17	0.29079941557832456	0.8024295020643715	0.1
2015-10-10	0.29079941557832456	0.8024295020643715	0.1
2015-10-03	0.29079941557832456	0.8024295020643715	0.1
2015-09-26	0.29079941557832456	0.8024295020643715	0.1
2015-09-19	0.29079941557832456	0.8024295020643715	0.1
2015-09-12	0.29079941557832456	0.8024295020643715	0.1
2015-09-05	0.29079941557832456	0.8024295020643715	0.1
2015-08-29	0.29079941557832456	0.8024295020643715	0.1
2015-08-22	0.29079941557832456	0.8024295020643715	0.1
2015-08-15	0.29079941557832456	0.8024295020643715	0.1
2015-08-08	0.29079941557832456	0.8024295020643715	0.1
2015-08-01	0.29079941557832456	0.8024295020643715	0.1
2015-07-25	0.29079941557832456	0.8024295020643715	0.1
2015-07-18	0.29079941557832456	0.8024295020643715	0.1
2015-07-11	0.29079941557832456	0.8024295020643715	0.1
2015-07-04	0.29079941557832456	0.8024295020643715	0.1
2015-06-27	0.29079941557832456	0.8024295020643715	0.1
2015-06-20	0.29079941557832456	0.8024295020643715	0.1
2015-06-13	0.29079941557832456	0.8024295020643715	0.1
2015-06-06	0.29079941557832456	0.8024295020643715	0.1
2015-05-30	0.29079941557832456	0.8024295020643715	0.1
2015-05-23	0.29079941557832456	0.8024295020643715	0.1
2015-05-16	0.29079941557832456	0.8024295020643715	0.1
2015-05-09	0.29079941557832456	0.8024295020643715	0.1
2015-05-02	0.29079941557832456	0.8024295020643715	0.1
2015-04-25	0.29079941557832456	0.8024295020643715	0.1
2015-04-18	0.29079941557832456	0.8024295020643715	0.1
2015-04-11	0.29079941557832456	0.8024295020643715	0.1
2015-04-04	0.29079941557832456	0.8024295020643715	0.1
2015-03-28	0.29079941557832456	0.8024295020643715	0.1
2014-11-08	0.29079941557832456	0.8024295020643715	0.1
2014-11-01	0.29079941557832456	0.8024295020643715	0.1
2014-10-18	0.29079941557832456	0.8024295020643715	0.1
2014-10-25	0.29079941557832456	0.8024295020643715	0.1
2014-10-11	0.29079941557832456	0.8024295020643715	0.1
2014-10-04	0.29079941557832456	0.8024295020643715	0.1
2014-09-27	0.29079941557832456	0.8024295020643715	0.1
2014-09-20	0.29079941557832456	0.8024295020643715	0.1
2014-09-13	0.29079941557832456	0.8024295020643715	0.1
2014-09-06	0.29079941557832456	0.8024295020643715	0.1
2014-08-30	0.29079941557832456	0.8024295020643715	0.1
2014-08-23	0.29079941557832456	0.8024295020643715	0.1
2014-08-16	0.29079941557832456	0.8024295020643715	0.1
2014-08-09	0.29079941557832456	0.8024295020643715	0.1
2014-08-02	0.29079941557832456	0.8024295020643715	0.1
2014-07-26	0.29079941557832456	0.8024295020643715	0.1
2014-07-19	0.29079941557832456	0.8024295020643715	0.1
2014-07-12	0.29079941557832456	0.8024295020643715	0.1
2014-07-05	0.29079941557832456	0.8024295020643715	0.1
2014-06-28	0.29079941557832456	0.8024295020643715	0.1
2014-06-21	0.29079941557832456	0.8024295020643715	0.1
2014-06-14	0.29079941557832456	0.8024295020643715	0.1
2014-06-07	0.29079941557832456	0.8024295020643715	0.1
2014-05-31	0.29079941557832456	0.8024295020643715	0.1
2014-05-24	0.29079941557832456	0.8024295020643715	0.1
2014-05-17	0.29079941557832456	0.8024295020643715	0.1
2014-05-10	0.29079941557832456	0.8024295020643715	0.1
2014-05-03	0.29079941557832456	0.8024295020643715	0.1
2014-04-26	0.29079941557832456	0.8024295020643715	0.1
2014-04-19	0.29079941557832456	0.8024295020643715	0.1
2014-04-12	0.29079941557832456	0.8024295020643715	0.1
